Nazev;Cena [Kè];Kapacita [GB];Kè/TB;Popis;URL
DELL server 600GB;6652,00;600,00;11086,67;"Interní HDD / Kapacita 600 GB / 15 000 otáèek / Formát Klasický - 3.5"" Interní / Rozhraní SAS III (12 Gbit/s) / Kov / Adaptér do 3.5"" v balení / Záruka 24 mìsícù";https://www.mironet.cz/dell-server-600gb-hotplug-sas-15000-rpm-35quot-pro-poweredge-r440-r540-r640-r740xd+dp380207/
Hitachi Ultrastar Archive Ha10 10TB;14010,00;10000,00;1401,00;"Interní HDD / Kapacita 10000 GB / 7 200 otáèek / Cache 256 MB / Formát Klasický - 3.5"" Interní / Rozhraní SAS III (12 Gbit/s) / Kov / Záruka 60 mìsícù";https://www.mironet.cz/hitachi-ultrastar-archive-ha10-10tb-hdd-35quot-sas-iii-7-200-rpm-256mb-cache-261mm-5y+dp391380/
DELL server 2TB;6028,00;2000,00;3014,00;"Interní HDD / Kapacita 2000 GB / 7 200 otáèek / Formát Klasický - 3.5"" Interní / Rozhraní SAS III (12 Gbit/s)";https://www.mironet.cz/dell-server-2tb-sas-12gbps-7200-rpm-35quot-hotplug-pro-t340-t440-t640+dp401240/
DELL server 2TB;6722,00;2000,00;3361,00;"Interní HDD / Kapacita 2000 GB / 7 200 otáèek / Formát Klasický - 3.5"" Interní / Rozhraní SAS III (12 Gbit/s)";https://www.mironet.cz/dell-server-2tb-sas-12gbps-7200-rpm-35quot-pro-poweredge-r-t-r440-r640-r740xd+dp401937/
WD WDC Ultrastar 7K600|HC310 6TB;5657,00;6000,00;942,83;"Interní HDD / Kapacita 6000 GB / 7 200 otáèek / Cache 256 MB / Formát Klasický - 3.5"" Interní / Rozhraní SAS III (12 Gbit/s) / Kov / Záruka 60 mìsícù";https://www.mironet.cz/wd-wdc-ultrastar-7k600hc310-6tb-hdd-35quot-sas-iii-7-200-rpm-256mb-cache-5y+dp424678/
Seagate Exos X16 16TB;8868,00;16000,00;554,25;"Interní HDD / Kapacita 16000 GB / 7 200 otáèek / Cache 256 MB / Specifikace AHCI / Formát Klasický - 3.5"" Interní / Rozhraní SAS III (12 Gbit/s) / Advanced Format, JBOD, NCQ, RAID, RoHS / Kov / Záruka 60 mìsícù";https://www.mironet.cz/seagate-exos-x16-16tb-hdd-35quot-sas-iii-256mb-cache-5y+dp442027/
WD Ultrastar DC330 10TB;7219,00;10000,00;721,90;"Interní HDD / Kapacita 10000 GB / 7 200 otáèek / Cache 256 MB / Formát Klasický - 3.5"" Interní / Rozhraní SAS III (12 Gbit/s) / Kov / Záruka 60 mìsícù";https://www.mironet.cz/wd-ultrastar-dc330-10tb-hdd-35quot-sas-iii-7-200-rpm-256mb-cache-5y+dp442095/
Seagate Exos 7E8 8TB;6751,00;8000,00;843,88;"Interní HDD / Kapacita 8000 GB / 7 200 otáèek / Cache 256 MB / Formát Klasický - 3.5"" Interní / Rozhraní SAS III (12 Gbit/s) / Kov / MTBF 2000000 hodin / Záruka 60 mìsícù";https://www.mironet.cz/seagate-exos-7e8-8tb-hdd-35quot-sas-iii-7-200-rpm-256mb-cache-5y+dp442099/
Seagate Exos 7E8 Enterprise 6TB 512e4KN/ HDD;5833,00;6000,00;972,17;"Interní HDD / Kapacita 6000 GB / 7 200 otáèek / Cache 256 MB / Formát Klasický - 3.5"" Interní / Rozhraní SAS III (12 Gbit/s) / MTBF 2000000 hodin / Záruka 60 mìsícù";https://www.mironet.cz/seagate-exos-7e8-enterprise-6tb-512e4kn-hdd-35quot-sas-12gbs-7-200-rpm-256mb-cache-5y+dp442187/
Seagate Exos 7E8 Enterprise 6TB 512n/ HDD;6195,00;6000,00;1032,50;"Interní HDD / Kapacita 6000 GB / 7 200 otáèek / Cache 256 MB / Formát Klasický - 3.5"" Interní / Rozhraní SAS III (12 Gbit/s) / MTBF 2000000 hodin / Záruka 60 mìsícù";https://www.mironet.cz/seagate-exos-7e8-enterprise-6tb-512n-hdd-35quot-sas-12gbs-7-200-rpm-256mb-cache-5y+dp442188/
